Municipio de Destino,Custo Médio (R$/tonelada),local
RIO VERDE-GO,43.19,GO
PALMEIRANTE-TO,62.57,TO
VÁRZEA GRANDE-MT,66.36,MT
TRÊS LAGOAS-MS,74.74,MS
PORTO MURTINHO-MS,83.73,MS
PETROLINA DE GOIÁS-GO,87.4,GO
MARAVILHA-SC,94.0,SC
PORTO NACIONAL-TO,99.62,TO
SANTA HELENA DE GOIÁS-GO,104.66,GO
SANTA HELENA-PR,105.56,PR
RONDONÓPOLIS-MT,106.09,MT
PORTO FRANCO-MA,106.54,MA
MARINGÁ-PR,112.82,PR
PEDRA PRETA-MT,113.92,MT
SÃO SIMÃO-GO,115.48,GO
ALTO ARAGUAIA-MT,119.3,MT
UBERABA-MG,119.47,MG
PONTALINA-GO,124.19,GO
CACOAL-RO,125.97,RO
CAMARGO-RS,129.93,RS
UBERLÂNDIA-MG,132.07,MG
CONTAGEM-MG,139.0,MG
ITAPURANGA-GO,142.51,GO
ARAGUARI-MG,143.5,MG
GOIÂNIA-GO,145.91,GO
ARAGUAÍNA-TO,147.99,TO
SÃO LUÍS DE MONTES BELOS-GO,161.52,GO
PALMEIRAS DE GOIÁS-GO,164.3,GO
FEIRA DE SANTANA-BA,164.8,BA
PIRAPORA-MG,173.09,MG
PORTO VELHO-RO,181.83,RO
BOM JESUS DA LAPA-BA,186.07,BA
BRASÍLIA-DF,186.25,DF
CAMPO GRANDE-MS,191.06,MS
PARAÚNA-GO,196.03,GO
PARÁ DE MINAS-MG,201.38,MG
PORTEIRÃO-GO,206.11,GO
CORRENTE-PI,207.87,PI
JEQUIÉ-BA,208.06,BA
COLINAS DO TOCANTINS-TO,209.86,TO
PASSO FUNDO-RS,216.67,RS
BOM JESUS-SC,221.3,SC
SÃO MIGUEL DO OESTE-SC,223.1,SC
PARAMIRIM-BA,224.66,BA
CHAPECÓ-SC,225.84,SC
ITAITUBA-PA,225.89,PA
CABO DE SANTO AGOSTINHO-PE,228.54,PE
VILHENA-RO,232.94,RO
CORONEL FREITAS-SC,234.08,SC
HERVAL D'OESTE-SC,234.13,SC
QUILOMBO-SC,234.67,SC
SANTA MARIA DA VITÓRIA-BA,237.35,BA
GUANAMBI-BA,237.62,BA
BARCARENA-PA,238.2,PA
MAFRA-SC,238.8,SC
TERESINA-PI,239.82,PI
CORONEL BARROS-RS,242.1,RS
IRINEÓPOLIS-SC,245.3,SC
PARANAGUÁ-PR,246.03,PR
VITÓRIA DA CONQUISTA-BA,249.89,BA
BAIXA GRANDE-BA,250.0,BA
SALVADOR-BA,255.48,BA
PALMEIRA DAS MISSÕES-RS,255.5,RS
MARAVILHAS-MG,257.5,MG
FORTALEZA-CE,262.19,CE
JACOBINA-BA,262.5,BA
ESTRELA-RS,270.59,RS
ILHÉUS-BA,272.35,BA
RIO GRANDE-RS,273.68,RS
GUARUJÁ-SP,276.3,SP
OSVALDO CRUZ-SP,276.61,SP
MONTES CLAROS-MG,276.62,MG
GUABIJU-RS,277.6,RS
SANTARÉM-PA,278.46,PA
BELO HORIZONTE-MG,286.68,MG
IBIRAIARAS-RS,287.59,RS
GARIBALDI-RS,288.82,RS
SÃO LUÍS-MA,289.27,MA
PIRANGA-MG,290.0,MG
SÃO JOÃO DO PIAUÍ-PI,292.3,PI
MARAU-RS,294.13,RS
JUIZ DE FORA-MG,294.57,MG
ITAPEMIRIM-ES,295.7,ES
CAMPOS NOVOS-SC,299.09,SC
SANTOS-SP,299.66,SP
ERECHIM-RS,302.72,RS
CRUZEIRO DO SUL-RS,305.26,RS
ITAPIRANGA-SC,307.41,SC
NAVEGANTES-SC,311.4,SC
SIMPLÍCIO MENDES-PI,311.45,PI
BODOCÓ-PE,312.5,PE
ELESBÃO VELOSO-PI,314.6,PI
IMBITUBA-SC,314.88,SC
PELOTAS-RS,315.38,RS
JUAZEIRO-BA,319.26,BA
VITÓRIA-ES,322.61,ES
ITAÍBA-PE,322.81,PE
RIO BRANCO-AC,324.7,AC
BRAÇO DO NORTE-SC,324.98,SC
CONCEIÇÃO DO COITÉ-BA,325.0,BA
RECIFE-PE,328.34,PE
PONTE NOVA-MG,333.5,MG
RIO DE JANEIRO-RJ,337.71,RJ
SÃO PAULO-SP,340.45,SP
BERNARDINO DE CAMPOS-SP,340.74,SP
SALGUEIRO-PE,340.89,PE
ESPERANTINA-PI,342.73,PI
PAULISTANA-PI,343.71,PI
ITAPORANGA-PB,345.13,PB
LUZILÂNDIA-PI,347.34,PI
SANTA ROSA-RS,350.72,RS
PRINCESA ISABEL-PB,355.1,PB
CATOLÉ DO ROCHA-PB,357.6,PB
MARCO-CE,358.95,CE
LAJES-RN,359.18,RN
MARACAJÁ-SC,359.2,SC
SANTA QUITÉRIA-CE,359.3,CE
SERTÂNIA-PE,362.78,PE
ITABERABA-BA,366.2,BA
ARAPIRACA-AL,367.47,AL
ITABAIANA-SE,367.7,SE
QUIXERAMOBIM-CE,368.15,CE
TAUÁ-CE,369.04,CE
CHORROCHÓ-BA,371.43,BA
CANINDÉ-CE,371.71,CE
PETROLINA-PE,371.96,PE
COLATINA-ES,379.05,ES
BREJO SANTO-CE,380.62,CE
QUIXADÁ-CE,380.89,CE
ENTRE RIOS-BA,381.43,BA
IMPERATRIZ-MA,382.49,MA
PICUÍ-PB,384.53,PB
SÃO RAIMUNDO NONATO-PI,387.11,PI
SANTANA DO IPANEMA-AL,387.81,AL
FLORIANO-PI,388.16,PI
PICOS-PI,388.59,PI
IRECÊ-BA,389.28,BA
ITAPIPOCA-CE,391.06,CE
JAGUARIBE-CE,400.59,CE
CACHOEIRO DE ITAPEMIRIM-ES,402.55,ES
MORADA NOVA-CE,403.42,CE
LAVRAS DA MANGABEIRA-CE,404.81,CE
CAMPO MAIOR-PI,412.34,PI
CRATEÚS-CE,413.05,CE
SOUSA-PB,418.33,PB
ANANINDEUA-PA,420.26,PA
RIBEIRA DO POMBAL-BA,423.0,BA
OEIRAS-PI,424.63,PI
SOBRAL-CE,427.6,CE
PALMEIRA DO PIAUÍ-PI,428.14,PI
PARNAÍBA-PI,431.03,PI
CAMPINA GRANDE-PB,431.07,PB
PALMEIRA DOS ÍNDIOS-AL,431.92,AL
ARCOVERDE-PE,432.25,PE
UMARIZAL-RN,434.74,RN
MONTEIRO-PB,436.57,PB
JUAZEIRO DO NORTE-CE,437.17,CE
FLORESTA-PE,439.57,PE
CAICÓ-RN,442.35,RN
MOSSORÓ-RN,443.34,RN
IGUATU-CE,444.06,CE
NATAL-RN,450.03,RN
MACEIÓ-AL,450.25,AL
SENADOR POMPEU-CE,450.77,CE
PATOS-PB,451.12,PB
AÇU-RN,451.97,RN
CURRAIS NOVOS-RN,452.72,RN
JOÃO PESSOA-PB,452.85,PB
ICÓ-CE,461.03,CE
MARACANAÚ-CE,468.63,CE
RUSSAS-CE,469.42,CE
PIRIPIRI-PI,469.8,PI
JOÃO CÂMARA-RN,472.24,RN
