Municipio de Destino,Custo Médio (R$/tonelada)
RIO VERDE-GO,43.19
PALMEIRANTE-TO,62.57
VÁRZEA GRANDE-MT,66.36
TRÊS LAGOAS-MS,74.74
PORTO MURTINHO-MS,83.73
PETROLINA DE GOIÁS-GO,87.4
MARAVILHA-SC,94.0
PORTO NACIONAL-TO,99.62
SANTA HELENA DE GOIÁS-GO,104.66
SANTA HELENA-PR,105.56
RONDONÓPOLIS-MT,106.09
PORTO FRANCO-MA,106.54
MARINGÁ-PR,112.82
PEDRA PRETA-MT,113.92
SÃO SIMÃO-GO,115.48
ALTO ARAGUAIA-MT,119.3
UBERABA-MG,119.47
PONTALINA-GO,124.19
CACOAL-RO,125.97
CAMARGO-RS,129.93
UBERLÂNDIA-MG,132.07
CONTAGEM-MG,139.0
ITAPURANGA-GO,142.51
ARAGUARI-MG,143.5
GOIÂNIA-GO,145.91
ARAGUAÍNA-TO,147.99
SÃO LUÍS DE MONTES BELOS-GO,161.52
PALMEIRAS DE GOIÁS-GO,164.3
FEIRA DE SANTANA-BA,164.8
PIRAPORA-MG,173.09
PORTO VELHO-RO,181.83
BOM JESUS DA LAPA-BA,186.07
BRASÍLIA-DF,186.25
CAMPO GRANDE-MS,191.06
PARAÚNA-GO,196.03
PARÁ DE MINAS-MG,201.38
PORTEIRÃO-GO,206.11
CORRENTE-PI,207.87
JEQUIÉ-BA,208.06
COLINAS DO TOCANTINS-TO,209.86
PASSO FUNDO-RS,216.67
BOM JESUS-SC,221.3
SÃO MIGUEL DO OESTE-SC,223.1
PARAMIRIM-BA,224.66
CHAPECÓ-SC,225.84
ITAITUBA-PA,225.89
CABO DE SANTO AGOSTINHO-PE,228.54
VILHENA-RO,232.94
CORONEL FREITAS-SC,234.08
HERVAL D'OESTE-SC,234.13
QUILOMBO-SC,234.67
SANTA MARIA DA VITÓRIA-BA,237.35
GUANAMBI-BA,237.62
BARCARENA-PA,238.2
MAFRA-SC,238.8
TERESINA-PI,239.82
CORONEL BARROS-RS,242.1
IRINEÓPOLIS-SC,245.3
PARANAGUÁ-PR,246.03
VITÓRIA DA CONQUISTA-BA,249.89
BAIXA GRANDE-BA,250.0
SALVADOR-BA,255.48
PALMEIRA DAS MISSÕES-RS,255.5
MARAVILHAS-MG,257.5
FORTALEZA-CE,262.19
JACOBINA-BA,262.5
ESTRELA-RS,270.59
ILHÉUS-BA,272.35
RIO GRANDE-RS,273.68
GUARUJÁ-SP,276.3
OSVALDO CRUZ-SP,276.61
MONTES CLAROS-MG,276.62
GUABIJU-RS,277.6
SANTARÉM-PA,278.46
BELO HORIZONTE-MG,286.68
IBIRAIARAS-RS,287.59
GARIBALDI-RS,288.82
SÃO LUÍS-MA,289.27
PIRANGA-MG,290.0
SÃO JOÃO DO PIAUÍ-PI,292.3
MARAU-RS,294.13
JUIZ DE FORA-MG,294.57
ITAPEMIRIM-ES,295.7
CAMPOS NOVOS-SC,299.09
SANTOS-SP,299.66
ERECHIM-RS,302.72
CRUZEIRO DO SUL-RS,305.26
ITAPIRANGA-SC,307.41
NAVEGANTES-SC,311.4
SIMPLÍCIO MENDES-PI,311.45
BODOCÓ-PE,312.5
ELESBÃO VELOSO-PI,314.6
IMBITUBA-SC,314.88
PELOTAS-RS,315.38
JUAZEIRO-BA,319.26
VITÓRIA-ES,322.61
ITAÍBA-PE,322.81
RIO BRANCO-AC,324.7
BRAÇO DO NORTE-SC,324.98
CONCEIÇÃO DO COITÉ-BA,325.0
RECIFE-PE,328.34
PONTE NOVA-MG,333.5
RIO DE JANEIRO-RJ,337.71
SÃO PAULO-SP,340.45
BERNARDINO DE CAMPOS-SP,340.74
SALGUEIRO-PE,340.89
ESPERANTINA-PI,342.73
PAULISTANA-PI,343.71
ITAPORANGA-PB,345.13
LUZILÂNDIA-PI,347.34
SANTA ROSA-RS,350.72
PRINCESA ISABEL-PB,355.1
CATOLÉ DO ROCHA-PB,357.6
MARCO-CE,358.95
LAJES-RN,359.18
MARACAJÁ-SC,359.2
SANTA QUITÉRIA-CE,359.3
SERTÂNIA-PE,362.78
ITABERABA-BA,366.2
ARAPIRACA-AL,367.47
ITABAIANA-SE,367.7
QUIXERAMOBIM-CE,368.15
TAUÁ-CE,369.04
CHORROCHÓ-BA,371.43
CANINDÉ-CE,371.71
PETROLINA-PE,371.96
COLATINA-ES,379.05
BREJO SANTO-CE,380.62
QUIXADÁ-CE,380.89
ENTRE RIOS-BA,381.43
IMPERATRIZ-MA,382.49
PICUÍ-PB,384.53
SÃO RAIMUNDO NONATO-PI,387.11
SANTANA DO IPANEMA-AL,387.81
FLORIANO-PI,388.16
PICOS-PI,388.59
IRECÊ-BA,389.28
ITAPIPOCA-CE,391.06
JAGUARIBE-CE,400.59
CACHOEIRO DE ITAPEMIRIM-ES,402.55
MORADA NOVA-CE,403.42
LAVRAS DA MANGABEIRA-CE,404.81
CAMPO MAIOR-PI,412.34
CRATEÚS-CE,413.05
SOUSA-PB,418.33
ANANINDEUA-PA,420.26
RIBEIRA DO POMBAL-BA,423.0
OEIRAS-PI,424.63
SOBRAL-CE,427.6
PALMEIRA DO PIAUÍ-PI,428.14
PARNAÍBA-PI,431.03
CAMPINA GRANDE-PB,431.07
PALMEIRA DOS ÍNDIOS-AL,431.92
ARCOVERDE-PE,432.25
UMARIZAL-RN,434.74
MONTEIRO-PB,436.57
JUAZEIRO DO NORTE-CE,437.17
FLORESTA-PE,439.57
CAICÓ-RN,442.35
MOSSORÓ-RN,443.34
IGUATU-CE,444.06
NATAL-RN,450.03
MACEIÓ-AL,450.25
SENADOR POMPEU-CE,450.77
PATOS-PB,451.12
AÇU-RN,451.97
CURRAIS NOVOS-RN,452.72
JOÃO PESSOA-PB,452.85
ICÓ-CE,461.03
MARACANAÚ-CE,468.63
RUSSAS-CE,469.42
PIRIPIRI-PI,469.8
JOÃO CÂMARA-RN,472.24
